# packages in environment at /home/aki/miniforge/envs/mieru:
#
# Name                    Version                   Build  Channel
cyrus-sasl                2.1.27               h54b06d7_7    conda-forge
dbus                      1.13.6               h5008d03_3    conda-forge
debugpy                   1.8.11          py311hfdbb021_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_1    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
double-conversion         3.3.0                h59595ed_0    conda-forge
entrypoints               0.4                pyhd8ed1ab_1    conda-forge
exceptiongroup            1.2.2              pyhd8ed1ab_1    conda-forge
executing                 2.1.0              pyhd8ed1ab_1    conda-forge
expat                     2.6.4                h5888daf_0    conda-forge
fastp                     0.24.0               heae3180_1    bioconda
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.15.0               h7e30c49_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.55.3          py311h2dc5d0c_1    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_1    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
gcc_impl_linux-64         14.2.0               h6b349bd_1    conda-forge
gfortran_impl_linux-64    14.2.0               hc73f493_1    conda-forge
graphite2                 1.3.13            h59595ed_1003    conda-forge
gsl                       2.7                  he838d99_0    conda-forge
gxx_impl_linux-64         14.2.0               h2c03514_1    conda-forge
h11                       0.14.0             pyhd8ed1ab_1    conda-forge
h2                        4.1.0              pyhd8ed1ab_1    conda-forge
harfbuzz                  9.0.0                hda332d3_1    conda-forge
hpack                     4.0.0              pyhd8ed1ab_1    conda-forge
htslib                    1.21                 h566b1c6_1    bioconda
httpcore                  1.0.7              pyh29332c3_1    conda-forge
httpx                     0.28.1             pyhd8ed1ab_0    conda-forge
hyperframe                6.0.1              pyhd8ed1ab_1    conda-forge
icu                       75.1                 he02047a_0    conda-forge
idna                      3.10               pyhd8ed1ab_1    conda-forge
importlib-metadata        8.5.0              pyha770c72_1    conda-forge
importlib_resources       6.4.5              pyhd8ed1ab_1    conda-forge
ipykernel                 6.29.5             pyh3099207_0    conda-forge
ipython                   8.31.0             pyh707e725_0    conda-forge
isa-l                     2.31.0               h4bc722e_2    conda-forge
isoduration               20.11.0            pyhd8ed1ab_1    conda-forge
jedi                      0.19.2             pyhd8ed1ab_1    conda-forge
jinja2                    3.1.5              pyhd8ed1ab_0    conda-forge
jq                        1.7.1                hd590300_0    conda-forge
json5                     0.10.0             pyhd8ed1ab_1    conda-forge
jsonpointer               3.0.0           py311h38be061_1    conda-forge
jsonschema                4.23.0             pyhd8ed1ab_1    conda-forge
jsonschema-specifications 2024.10.1          pyhd8ed1ab_1    conda-forge
jsonschema-with-format-nongpl 4.23.0               hd8ed1ab_1    conda-forge
jupyter-lsp               2.2.5              pyhd8ed1ab_1    conda-forge
jupyter_client            8.6.3              pyhd8ed1ab_1    conda-forge
jupyter_core              5.7.2              pyh31011fe_1    conda-forge
jupyter_events            0.11.0             pyhd8ed1ab_0    conda-forge
jupyter_server            2.15.0             pyhd8ed1ab_0    conda-forge
jupyter_server_terminals  0.5.3              pyhd8ed1ab_1    conda-forge
jupyterlab                4.3.4              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_2    conda-forge
jupyterlab_server         2.27.3             pyhd8ed1ab_1    conda-forge
kernel-headers_linux-64   3.10.0              he073ed8_18    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
kiwisolver                1.4.7           py311hd18a35c_0    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
lcms2                     2.16                 hb7c19ff_0    conda-forge
ld_impl_linux-64          2.43                 h712a8e2_2    conda-forge
lerc                      4.0.0                h27087fc_0    conda-forge
libblas                   3.9.0           26_linux64_openblas    conda-forge
libbrotlicommon           1.1.0                hb9d3cd8_2    conda-forge
libbrotlidec              1.1.0                hb9d3cd8_2    conda-forge
libbrotlienc              1.1.0                hb9d3cd8_2    conda-forge
libcblas                  3.9.0           26_linux64_openblas    conda-forge
libclang-cpp19.1          19.1.6          default_hb5137d0_0    conda-forge
libclang13                19.1.6          default_h9c6a7e4_0    conda-forge
libcups                   2.3.3                h4637d8d_4    conda-forge
libcurl                   8.11.1               h332b0f4_0    conda-forge
libdeflate                1.23                 h4ddbbb0_0    conda-forge
libdrm                    2.4.124              hb9d3cd8_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libegl                    1.7.0                ha4b6fd6_2    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.6.4                h5888daf_0    conda-forge
libffi                    3.4.2                h7f98852_5    conda-forge
libgcc                    14.2.0               h77fa898_1    conda-forge
libgcc-devel_linux-64     14.2.0             h41c2201_101    conda-forge
libgcc-ng                 14.2.0               h69a702a_1    conda-forge
libgfortran               14.2.0               h69a702a_1    conda-forge
libgfortran-ng            14.2.0               h69a702a_1    conda-forge
libgfortran5              14.2.0               hd5240d6_1    conda-forge
libgl                     1.7.0                ha4b6fd6_2    conda-forge
libglib                   2.82.2               h2ff4ddf_0    conda-forge
libglvnd                  1.7.0                ha4b6fd6_2    conda-forge
libglx                    1.7.0                ha4b6fd6_2    conda-forge
libgomp                   14.2.0               h77fa898_1    conda-forge
libiconv                  1.17                 hd590300_2    conda-forge
libjpeg-turbo             3.0.0                hd590300_1    conda-forge
liblapack                 3.9.0           26_linux64_openblas    conda-forge
libllvm19                 19.1.6               ha7bfdaf_0    conda-forge
liblzma                   5.6.3                hb9d3cd8_1    conda-forge
libnghttp2                1.64.0               h161d5f1_0    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libntlm                   1.8                  hb9d3cd8_0    conda-forge
libopenblas               0.3.28          pthreads_h94d23a6_1    conda-forge
libopengl                 1.7.0                ha4b6fd6_2    conda-forge
libopenssl-static         3.4.0                hb9d3cd8_1    conda-forge
libpciaccess              0.18                 hd590300_0    conda-forge
libpng                    1.6.44               hadc24fc_0    conda-forge
libpq                     17.2                 h3b95a9b_1    conda-forge
libsanitizer              14.2.0               h2a3dede_1    conda-forge
libsodium                 1.0.20               h4ab18f5_0    conda-forge
libsqlite                 3.47.2               hee588c1_0    conda-forge
libssh2                   1.11.1               hf672d98_0    conda-forge
libstdcxx                 14.2.0               hc0a3c3a_1    conda-forge
libstdcxx-devel_linux-64  14.2.0             h41c2201_101    conda-forge
libstdcxx-ng              14.2.0               h4852527_1    conda-forge
libtiff                   4.7.0                hd9ff511_3    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libuv                     1.49.2               hb9d3cd8_0    conda-forge
libwebp-base              1.5.0                h851e524_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxkbcommon              1.7.0                h2c5496b_1    conda-forge
libxml2                   2.13.5               h8d12d68_1    conda-forge
libxslt                   1.1.39               h76b75d6_0    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
make                      4.4.1                hb9d3cd8_2    conda-forge
mariadb-connector-c       3.4.3                h10329db_1    conda-forge
markupsafe                3.0.2           py311h2dc5d0c_1    conda-forge
matplotlib                3.10.0          py311h38be061_0    conda-forge
matplotlib-base           3.10.0          py311h2b939e6_0    conda-forge
matplotlib-inline         0.1.7              pyhd8ed1ab_1    conda-forge
mistune                   3.0.2              pyhd8ed1ab_1    conda-forge
mizani                    0.13.1             pyhd8ed1ab_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mysql-common              9.0.1                h266115a_4    conda-forge
mysql-connector-c         6.1.11            h659d440_1008    conda-forge
mysql-libs                9.0.1                he0572af_4    conda-forge
nbclient                  0.10.2             pyhd8ed1ab_0    conda-forge
nbconvert-core            7.16.4             pyhff2d567_2    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_1    conda-forge
ncurses                   6.5                  he02047a_1    conda-forge
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
notebook                  7.3.2              pyhd8ed1ab_0    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_1    conda-forge
numpy                     1.26.4          py311h64a7726_0    conda-forge
oniguruma                 6.9.9                hd590300_0    conda-forge
openjpeg                  2.5.3                h5fbd93e_0    conda-forge
openldap                  2.6.9                he970967_0    conda-forge
openssl                   3.4.0                h7b32b05_1    conda-forge
overrides                 7.7.0              pyhd8ed1ab_1    conda-forge
packaging                 24.2               pyhd8ed1ab_2    conda-forge
pandas                    2.2.2           py311h14de704_1    conda-forge
pandoc                    3.6                  ha770c72_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
pango                     1.54.0               h3a902e7_3    conda-forge
parso                     0.8.4              pyhd8ed1ab_1    conda-forge
patsy                     1.0.1              pyhd8ed1ab_1    conda-forge
pcre2                     10.44                hba22ea6_2    conda-forge
perl                      5.32.1          7_hd590300_perl5    conda-forge
perl-inc-latest           0.500           pl5321ha770c72_0    conda-forge
perl-module-build         0.4234          pl5321ha770c72_0    conda-forge
pexpect                   4.9.0              pyhd8ed1ab_1    conda-forge
pickleshare               0.7.5           pyhd8ed1ab_1004    conda-forge
pillow                    11.1.0          py311h1322bbf_0    conda-forge
pip                       24.3.1             pyh8b19718_2    conda-forge
pixman                    0.44.2               h29eaf8c_0    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_2    conda-forge
platformdirs              4.3.6              pyhd8ed1ab_1    conda-forge
plotnine                  0.14.5             pyhd8ed1ab_0    conda-forge
prometheus_client         0.21.1             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.48             pyha770c72_1    conda-forge
psutil                    6.1.0           py311h9ecbd09_0    conda-forge
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
ptyprocess                0.7.0              pyhd8ed1ab_1    conda-forge
pure_eval                 0.2.3              pyhd8ed1ab_1    conda-forge
pycparser                 2.22               pyh29332c3_1    conda-forge
pygments                  2.18.0             pyhd8ed1ab_1    conda-forge
pyparsing                 3.2.1              pyhd8ed1ab_0    conda-forge
pyside6                   6.8.1           py311h9053184_0    conda-forge
pysocks                   1.7.1              pyha55dd90_7    conda-forge
python                    3.11.11         h9e4cc4f_1_cpython    conda-forge
python-dateutil           2.9.0.post0        pyhff2d567_1    conda-forge
python-fastjsonschema     2.21.1             pyhd8ed1ab_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python-tzdata             2024.2             pyhd8ed1ab_1    conda-forge
python_abi                3.11                    5_cp311    conda-forge
pytz                      2024.2             pyhd8ed1ab_1    conda-forge
pyyaml                    6.0.2           py311h9ecbd09_1    conda-forge
pyzmq                     26.2.0          py311h7deb3e3_3    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
qt6-main                  6.8.1                h9d28a51_0    conda-forge
r-abind                   1.4_5           r44hc72bb7e_1006    conda-forge
r-admisc                  0.37              r44hc72bb7e_0    conda-forge
r-aplot                   0.2.4             r44hc72bb7e_0    conda-forge
r-askpass                 1.2.1             r44h2b5f3a1_0    conda-forge
r-assertthat              0.2.1             r44hc72bb7e_5    conda-forge
r-backports               1.5.0             r44hb1dbf0f_1    conda-forge
r-base                    4.4.2                hc737e89_2    conda-forge
r-base64enc               0.1_3           r44hb1dbf0f_1007    conda-forge
r-bh                      1.87.0_1          r44hc72bb7e_0    conda-forge
r-bit                     4.5.0.1           r44h2b5f3a1_0    conda-forge
r-bit64                   4.5.2             r44h2b5f3a1_0    conda-forge
r-bitops                  1.0_9             r44h2b5f3a1_0    conda-forge
r-blob                    1.2.4             r44hc72bb7e_2    conda-forge
r-blockmodeling           1.1.5             r44hb67ce94_2    conda-forge
r-boot                    1.3_31            r44hc72bb7e_0    conda-forge
r-brio                    1.1.5             r44hb1dbf0f_1    conda-forge
r-broom                   1.0.7             r44hc72bb7e_0    conda-forge
r-bslib                   0.8.0             r44hc72bb7e_0    conda-forge
r-cachem                  1.1.0             r44hb1dbf0f_1    conda-forge
r-callr                   3.7.6             r44hc72bb7e_1    conda-forge
r-caret                   6.0_94            r44hdb488b9_2    conda-forge
r-catools                 1.18.3            r44h93ab643_0    conda-forge
r-cellranger              1.1.0           r44hc72bb7e_1007    conda-forge
r-circlize                0.4.16            r44hc72bb7e_1    conda-forge
r-class                   7.3_22            r44hb1dbf0f_2    conda-forge
r-cli                     3.6.3             r44h0d4f4ea_1    conda-forge
r-clipr                   0.8.0             r44hc72bb7e_3    conda-forge
r-clock                   0.7.1             r44h0d4f4ea_0    conda-forge
r-cluster                 2.1.8             r44hb67ce94_0    conda-forge
r-codetools               0.2_20            r44hc72bb7e_1    conda-forge
r-colorspace              2.1_1             r44hdb488b9_0    conda-forge
r-commonmark              1.9.2             r44h2b5f3a1_0    conda-forge
r-conflicted              1.2.0             r44h785f33e_2    conda-forge
r-cpp11                   0.5.1             r44hc72bb7e_0    conda-forge
r-crayon                  1.5.3             r44hc72bb7e_1    conda-forge
r-crul                    1.5.0             r44h785f33e_0    conda-forge
r-curl                    6.0.1             r44h2700575_0    conda-forge
r-data.table              1.15.4            r44h5f06984_1    conda-forge
r-dbi                     1.2.3             r44hc72bb7e_1    conda-forge
r-dbplyr                  2.5.0             r44hc72bb7e_1    conda-forge
r-desc                    1.4.3             r44hc72bb7e_1    conda-forge
r-diagram                 1.6.5             r44ha770c72_3    conda-forge
r-diffobj                 0.3.5             r44hb1dbf0f_3    conda-forge
r-digest                  0.6.37            r44h0d4f4ea_0    conda-forge
r-dplyr                   1.1.4             r44h0d4f4ea_1    conda-forge
r-dtplyr                  1.3.1             r44hc72bb7e_2    conda-forge
r-e1071                   1.7_16            r44h93ab643_0    conda-forge
r-ellipsis                0.3.2             r44hb1dbf0f_3    conda-forge
r-enrichr                 3.2               r44hc72bb7e_2    conda-forge
r-essentials              4.4             r44hd8ed1ab_2005    conda-forge
r-evaluate                1.0.1             r44hc72bb7e_0    conda-forge
r-extrafont               0.19              r44ha770c72_2    conda-forge
r-extrafontdb             1.0             r44hc72bb7e_1006    conda-forge
r-fansi                   1.0.6             r44hb1dbf0f_1    conda-forge
r-farver                  2.1.2             r44ha18555a_1    conda-forge
r-fastmap                 1.2.0             r44ha18555a_1    conda-forge
r-fontawesome             0.5.3             r44hc72bb7e_0    conda-forge
r-forcats                 1.0.0             r44hc72bb7e_2    conda-forge
r-foreach                 1.5.2             r44hc72bb7e_3    conda-forge
r-foreign                 0.8_87            r44hb1dbf0f_1    conda-forge
r-formatr                 1.14              r44hc72bb7e_2    conda-forge
r-fs                      1.6.5             r44h93ab643_0    conda-forge
r-futile.logger           1.4.3           r44hc72bb7e_1006    conda-forge
r-futile.options          1.0.1           r44hc72bb7e_1005    conda-forge
r-future                  1.34.0            r44h785f33e_0    conda-forge
r-future.apply            1.11.2            r44hc72bb7e_1    conda-forge
r-gargle                  1.5.2             r44h785f33e_1    conda-forge
r-generics                0.1.3             r44hc72bb7e_3    conda-forge
r-ggfortify               0.4.17            r44hc72bb7e_1    conda-forge
r-ggfun                   0.1.8             r44hc72bb7e_0    conda-forge
r-ggplot2                 3.5.1             r44hc72bb7e_1    conda-forge
r-ggplotify               0.1.2             r44hc72bb7e_1    conda-forge
r-ggrepel                 0.9.6             r44h93ab643_0    conda-forge
r-ggsignif                0.6.4             r44hc72bb7e_2    conda-forge
r-ggvenndiagram           1.5.2             r44hc72bb7e_1    conda-forge
r-gistr                   0.9.0             r44hc72bb7e_3    conda-forge
r-glmnet                  4.1_8             r44ha936806_1    conda-forge
r-globaloptions           0.1.2             r44ha770c72_3    conda-forge
r-globals                 0.16.3            r44hc72bb7e_1    conda-forge
r-glue                    1.8.0             r44h2b5f3a1_0    conda-forge
r-googledrive             2.1.1             r44hc72bb7e_2    conda-forge
r-googlesheets4           1.1.1             r44h785f33e_2    conda-forge
r-gower                   1.0.1             r44hb1dbf0f_2    conda-forge
r-gplots                  3.2.0             r44hc72bb7e_0    conda-forge
r-gridextra               2.3             r44hc72bb7e_1006    conda-forge
r-gridgraphics            0.5_1             r44hc72bb7e_3    conda-forge
r-gtable                  0.3.6             r44hc72bb7e_0    conda-forge
r-gtools                  3.9.5             r44hb1dbf0f_1    conda-forge
r-hardhat                 1.4.0             r44hc72bb7e_1    conda-forge
r-haven                   2.5.4             r44h0d4f4ea_1    conda-forge
r-here                    1.0.1             r44hc72bb7e_3    conda-forge
r-hexbin                  1.28.5            r44hb67ce94_0    conda-forge
r-highr                   0.11              r44hc72bb7e_1    conda-forge
r-hms                     1.1.3             r44hc72bb7e_2    conda-forge
r-htmltools               0.5.8.1           r44ha18555a_1    conda-forge
r-htmlwidgets             1.6.4             r44h785f33e_3    conda-forge
r-httpcode                0.3.0             r44ha770c72_4    conda-forge
r-httpuv                  1.6.15            r44ha18555a_1    conda-forge
r-httr                    1.4.7             r44hc72bb7e_1    conda-forge
r-httr2                   1.0.7             r44hc72bb7e_0    conda-forge
r-ids                     1.0.1             r44hc72bb7e_4    conda-forge
r-ipred                   0.9_15            r44hdb488b9_1    conda-forge
r-irdisplay               1.1               r44hd8ed1ab_3    conda-forge
r-irkernel                1.3.2             r44h785f33e_2    conda-forge
r-isoband                 0.2.7             r44ha18555a_3    conda-forge
r-iterators               1.0.14            r44hc72bb7e_3    conda-forge
r-janitor                 2.2.1             r44hc72bb7e_0    conda-forge
r-jquerylib               0.1.4             r44hc72bb7e_3    conda-forge
r-jsonlite                1.8.9             r44h2b5f3a1_0    conda-forge
r-kernsmooth              2.23_24           r44hc2011d3_1    conda-forge
r-knitr                   1.49              r44hc72bb7e_0    conda-forge
r-labeling                0.4.3             r44hc72bb7e_1    conda-forge
r-lambda.r                1.2.4             r44hc72bb7e_4    conda-forge
r-later                   1.4.1             r44h93ab643_0    conda-forge
r-lattice                 0.22_6            r44hb1dbf0f_1    conda-forge
r-lava                    1.8.0             r44hc72bb7e_0    conda-forge
r-lazyeval                0.2.2             r44hb1dbf0f_5    conda-forge
r-lifecycle               1.0.4             r44hc72bb7e_1    conda-forge
r-listenv                 0.9.1             r44hc72bb7e_1    conda-forge
r-lobstr                  1.1.2             r44ha18555a_4    conda-forge
r-locfit                  1.5_9.10          r44h2b5f3a1_0    conda-forge
r-lubridate               1.9.4             r44h2b5f3a1_0    conda-forge
r-magrittr                2.0.3             r44hb1dbf0f_3    conda-forge
r-maps                    3.4.2.1           r44h2b5f3a1_0    conda-forge
r-mass                    7.3_60.0.1        r44hb1dbf0f_1    conda-forge
r-matrix                  1.6_5             r44he966344_1    conda-forge
r-matrixstats             1.4.1             r44h2b5f3a1_0    conda-forge
r-memoise                 2.0.1             r44hc72bb7e_3    conda-forge
r-mgcv                    1.9_1             r44h0d28552_1    conda-forge
r-mime                    0.12              r44hb1dbf0f_3    conda-forge
r-modelmetrics            1.2.2.2           r44h0d4f4ea_4    conda-forge
r-modelr                  0.1.11            r44hc72bb7e_2    conda-forge
r-munsell                 0.5.1             r44hc72bb7e_1    conda-forge
r-nlme                    3.1_165           r44hbcb9c34_1    conda-forge
r-nnet                    7.3_19            r44hb1dbf0f_2    conda-forge
r-numderiv                2016.8_1.1        r44hc72bb7e_6    conda-forge
r-openssl                 2.2.2             r44he8289e2_0    conda-forge
r-parallelly              1.41.0            r44h2b5f3a1_0    conda-forge
r-patchwork               1.3.0             r44hc72bb7e_0    conda-forge
r-pbdzmq                  0.3_13            r44h549f438_0    conda-forge
r-pheatmap                1.0.12            r44hc72bb7e_5    conda-forge
r-pillar                  1.10.0            r44hc72bb7e_0    conda-forge
r-pkgbuild                1.4.5             r44hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r44hc72bb7e_4    conda-forge
r-pkgload                 1.4.0             r44hc72bb7e_0    conda-forge
r-plyr                    1.8.9             r44ha18555a_1    conda-forge
r-png                     0.1_8             r44h21f035c_2    conda-forge
r-praise                  1.0.0           r44hc72bb7e_1008    conda-forge
r-prettyunits             1.2.0             r44hc72bb7e_1    conda-forge
r-proc                    1.18.5            r44ha18555a_1    conda-forge
r-processx                3.8.4             r44hb1dbf0f_1    conda-forge
r-prodlim                 2024.06.25        r44h0d4f4ea_1    conda-forge
r-progress                1.2.3             r44hc72bb7e_1    conda-forge
r-progressr               0.15.1            r44hc72bb7e_0    conda-forge
r-promises                1.3.2             r44h93ab643_0    conda-forge
r-proxy                   0.4_27            r44hb1dbf0f_3    conda-forge
r-pryr                    0.1.6             r44h0d4f4ea_2    conda-forge
r-ps                      1.8.1             r44h2b5f3a1_0    conda-forge
r-purrr                   1.0.2             r44hdb488b9_1    conda-forge
r-quantmod                0.4.26            r44hc72bb7e_1    conda-forge
r-r6                      2.5.1             r44hc72bb7e_3    conda-forge
r-ragg                    1.3.3             r44h9aa3752_0    conda-forge
r-randomforest            4.7_1.2           r44hb67ce94_0    conda-forge
r-rappdirs                0.3.3             r44hb1dbf0f_3    conda-forge
r-rbokeh                  0.5.2             r44hc72bb7e_4    conda-forge
r-rcolorbrewer            1.1_3             r44h785f33e_3    conda-forge
r-rcpp                    1.0.13_1          r44h93ab643_0    conda-forge
r-rcpparmadillo           14.2.2_1          r44hb79369c_0    conda-forge
r-rcppeigen               0.3.4.0.2         r44hb79369c_0    conda-forge
r-rcpptoml                0.2.3             r44h93ab643_0    conda-forge
r-readr                   2.1.5             r44h0d4f4ea_1    conda-forge
r-readxl                  1.4.3             r44he58e087_1    conda-forge
r-recipes                 1.1.0             r44hc72bb7e_1    conda-forge
r-recommended             4.4             r44hd8ed1ab_1007    conda-forge
r-rematch                 2.0.0             r44hc72bb7e_1    conda-forge
r-rematch2                2.1.2             r44hc72bb7e_4    conda-forge
r-repr                    1.1.7             r44h785f33e_1    conda-forge
r-reprex                  2.1.1             r44hc72bb7e_1    conda-forge
r-reshape2                1.4.4             r44h0d4f4ea_4    conda-forge
r-reticulate              1.40.0            r44h93ab643_0    conda-forge
r-rjson                   0.2.23            r44h93ab643_0    conda-forge
r-rlang                   1.1.4             r44ha18555a_1    conda-forge
r-rmarkdown               2.29              r44hc72bb7e_0    conda-forge
r-rpart                   4.1.23            r44hb1dbf0f_1    conda-forge
r-rprojroot               2.0.4             r44hc72bb7e_1    conda-forge
r-rspectra                0.16_2            r44hb424bfc_0    conda-forge
r-rstudioapi              0.17.1            r44hc72bb7e_0    conda-forge
r-rttf2pt1                1.3.12            r44h2b5f3a1_2    conda-forge
r-rvest                   1.0.4             r44hc72bb7e_1    conda-forge
r-sass                    0.4.9             r44ha18555a_1    conda-forge
r-scales                  1.3.0             r44hc72bb7e_1    conda-forge
r-selectr                 0.4_2             r44hc72bb7e_4    conda-forge
r-shape                   1.4.6.1           r44ha770c72_1    conda-forge
r-shiny                   1.10.0            r44h785f33e_0    conda-forge
r-snakecase               0.11.1            r44hc72bb7e_1    conda-forge
r-snow                    0.4_4             r44hc72bb7e_3    conda-forge
r-sourcetools             0.1.7_1           r44ha18555a_2    conda-forge
r-spatial                 7.3_17            r44hb1dbf0f_1    conda-forge
r-squarem                 2021.1            r44hc72bb7e_3    conda-forge
r-stringi                 1.8.4             r44h33cde33_3    conda-forge
r-stringr                 1.5.1             r44h785f33e_1    conda-forge
r-survival                3.8_3             r44h2b5f3a1_0    conda-forge
r-svglite                 2.1.3             r44h3d53355_1    conda-forge
r-sys                     3.4.3             r44h2b5f3a1_0    conda-forge
r-systemfonts             1.1.0             r44h38d38ca_1    conda-forge
r-testthat                3.2.1.1           r44h0d4f4ea_1    conda-forge
r-textshaping             0.4.0             r44ha47bcaa_2    conda-forge
r-tibble                  3.2.1             r44hdb488b9_3    conda-forge
r-tidyr                   1.3.1             r44h0d4f4ea_1    conda-forge
r-tidyselect              1.2.1             r44hc72bb7e_1    conda-forge
r-tidyverse               2.0.0             r44h785f33e_2    conda-forge
r-timechange              0.3.0             r44ha18555a_1    conda-forge
r-timedate                4041.110          r44hc72bb7e_0    conda-forge
r-tinytex                 0.54              r44hc72bb7e_0    conda-forge
r-triebeard               0.4.1             r44ha18555a_2    conda-forge
r-ttr                     0.24.4            r44hdb488b9_1    conda-forge
r-tzdb                    0.4.0             r44ha18555a_2    conda-forge
r-umap                    0.2.10.0          r44h0d4f4ea_2    conda-forge
r-urltools                1.7.3             r44ha18555a_5    conda-forge
